model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
XGBoost,0.8761388064284983,0.8848,accuracy,0.11659741401672363,0.033538103103637695,2.8683133125305176,0.11659741401672363,0.033538103103637695,2.8683133125305176,1,True,9
WeightedEnsemble_L2,0.8761388064284983,0.8848,accuracy,0.11949920654296875,0.03471064567565918,3.010178804397583,0.002901792526245117,0.0011725425720214844,0.14186549186706543,2,True,12
CatBoost,0.8756269833145665,0.8836,accuracy,0.0577702522277832,0.014405965805053711,47.79705262184143,0.0577702522277832,0.014405965805053711,47.79705262184143,1,True,5
LightGBMLarge,0.8754222540689938,0.8824,accuracy,0.30174970626831055,0.07008051872253418,3.2643346786499023,0.30174970626831055,0.07008051872253418,3.2643346786499023,1,True,11
LightGBM,0.8734773262360528,0.8824,accuracy,0.27074408531188965,0.06805014610290527,2.5055246353149414,0.27074408531188965,0.06805014610290527,2.5055246353149414,1,True,2
LightGBMXT,0.8714300337803256,0.8792,accuracy,0.6288588047027588,0.16254734992980957,13.806144952774048,0.6288588047027588,0.16254734992980957,13.806144952774048,1,True,1
NeuralNetTorch,0.8596581021598936,0.858,accuracy,0.09412193298339844,0.04963564872741699,109.27294301986694,0.09412193298339844,0.04963564872741699,109.27294301986694,1,True,10
RandomForestGini,0.8593510082915344,0.8612,accuracy,1.693518877029419,0.2503089904785156,16.04365038871765,1.693518877029419,0.2503089904785156,16.04365038871765,1,True,3
RandomForestEntr,0.8576108097041663,0.8584,accuracy,1.1752524375915527,0.2261064052581787,16.955148935317993,1.1752524375915527,0.2261064052581787,16.955148935317993,1,True,4
NeuralNetFastAI,0.8559729757395844,0.8604,accuracy,0.24912357330322266,0.05159354209899902,63.56012177467346,0.24912357330322266,0.05159354209899902,63.56012177467346,1,True,8
ExtraTreesGini,0.8534138601699253,0.8528,accuracy,1.261465072631836,0.2681119441986084,10.319724082946777,1.261465072631836,0.2681119441986084,10.319724082946777,1,True,6
ExtraTreesEntr,0.8506500153546934,0.8524,accuracy,2.5566318035125732,0.4201211929321289,10.471867322921753,2.5566318035125732,0.4201211929321289,10.471867322921753,1,True,7
