importance,stddev,p_value,n,p99_high,p99_low
0.07499999999999996,0.004847679857416334,2.0828433198432182e-06,5,0.08498143982847618,0.06501856017152373
0.06839999999999995,0.003847076812334272,1.1957784177967874e-06,5,0.07632118432884842,0.06047881567115147
0.061599999999999946,0.004827007354458872,4.487690978963887e-06,5,0.07153887485916241,0.05166112514083748
0.06139999999999994,0.003286335345031,9.810660117152574e-07,5,0.06816660989740027,0.05463339010259961
0.051999999999999935,0.004301162633521317,5.566214294382944e-06,5,0.06085615331080556,0.04314384668919431
0.04359999999999993,0.004615192303685735,1.484341810317173e-05,5,0.05310274474202538,0.03409725525797448
0.04299999999999993,0.0010000000000000009,3.507472820246419e-08,5,0.04505901382146875,0.040940986178531105
0.03499999999999994,0.005656854249492351,7.911011382098292e-05,5,0.04664754108573932,0.023352458914260566
0.02779999999999998,0.002949576240750486,1.4981315724763258e-05,5,0.03387321824718127,0.021726781752818686
0.020000000000000018,0.0020000000000000018,1.1841664018533535e-05,5,0.02411802764293766,0.015881972357062374
0.015200000000000014,0.0029495762407505278,0.00016193813375521302,5,0.021273218247181393,0.009126781752818634
0.013400000000000013,0.0026076809620810618,0.00016374304956094229,5,0.018769251142906028,0.008030748857093997
0.01180000000000001,0.002167948338867882,0.00013078306434885728,5,0.016263835593959348,0.0073361644060406725
0.01020000000000001,0.002280350850198278,0.00028079271229681575,5,0.014895273918356438,0.0055047260816435805
