model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
CatBoost,0.8529020370559934,0.86,accuracy,0.03097677230834961,0.00782918930053711,6.262378215789795,0.03097677230834961,0.00782918930053711,6.262378215789795,1,True,5
WeightedEnsemble_L2,0.8512642030914116,0.875,accuracy,0.6343536376953125,0.24251985549926758,9.25856637954712,0.005212306976318359,0.0010356903076171875,0.0846102237701416,2,True,11
LightGBMXT,0.8507523799774798,0.85,accuracy,0.07903194427490234,0.005854129791259766,0.5361309051513672,0.07903194427490234,0.005854129791259766,0.5361309051513672,1,True,1
NeuralNetFastAI,0.8469648889343843,0.85,accuracy,0.2217705249786377,0.013382911682128906,1.5659170150756836,0.2217705249786377,0.013382911682128906,1.5659170150756836,1,True,8
XGBoost,0.8466577950660252,0.855,accuracy,0.04236292839050293,0.008254289627075195,0.48865199089050293,0.04236292839050293,0.008254289627075195,0.48865199089050293,1,True,9
LightGBM,0.8413348346811342,0.84,accuracy,0.05311393737792969,0.005782604217529297,0.632192850112915,0.05311393737792969,0.005782604217529297,0.632192850112915,1,True,2
RandomForestGini,0.8400040945849114,0.84,accuracy,0.25075507164001465,0.11411499977111816,1.3913383483886719,0.25075507164001465,0.11411499977111816,1.3913383483886719,1,True,3
RandomForestEntr,0.8372402497696796,0.835,accuracy,0.3226156234741211,0.11368870735168457,1.0496032238006592,0.3226156234741211,0.11368870735168457,1.0496032238006592,1,True,4
ExtraTreesGini,0.8319172893847886,0.815,accuracy,0.28884410858154297,0.11144089698791504,0.9652631282806396,0.28884410858154297,0.11144089698791504,0.9652631282806396,1,True,6
LightGBMLarge,0.8294605384379159,0.795,accuracy,0.3446383476257324,0.010648012161254883,1.115196943283081,0.3446383476257324,0.010648012161254883,1.115196943283081,1,True,10
ExtraTreesEntr,0.8293581738151294,0.82,accuracy,0.26837754249572754,0.11368584632873535,0.9841086864471436,0.26837754249572754,0.11368584632873535,0.9841086864471436,1,True,7
