importance,stddev,p_value,n,p99_high,p99_low
0.05348000000000004,0.003342454188167698,1.8214573110415197e-06,5,0.06036215937106367,0.04659784062893641
0.053480000000000014,0.0029953296980466176,1.1759257130609978e-06,5,0.059647425248134024,0.047312574751866
0.03544000000000003,0.0049303143915981505,4.3810708372322696e-05,5,0.045591585476487256,0.0252884145235128
0.02120000000000004,0.0005999999999999802,7.69093465725518e-08,5,0.022435408292881293,0.01996459170711879
0.01636000000000002,0.0019768662069042445,2.5092802850656504e-05,5,0.0204303948432105,0.012289605156789542
0.012800000000000011,0.00110453610171872,6.588119161989392e-06,5,0.015074255099750146,0.010525744900249876
0.011680000000000024,0.003138789575616651,0.0005698447088817946,5,0.01814281111887696,0.005217188881123089
0.004440000000000022,0.0029441467354735986,0.013993814487444727,5,0.010502038820772466,-0.0016220388207724224
0.004079999999999995,0.0019677398201998013,0.004880274680292089,5,0.008131603486845957,2.8396513154034e-05
0.0037600000000000077,0.0007127411872481852,0.00014778540197968746,5,0.005227543955674117,0.0022924560443258984
0.0014000000000000013,0.0008124038404636022,0.009125009866131727,5,0.0030727507361289082,-0.00027275073612890565
0.00132000000000001,0.001188276062201002,0.033961772448287915,5,0.0037666768357924162,-0.0011266768357923963
0.0010400000000000188,0.0011081516141756129,0.05191159809702742,5,0.0033216994898705885,-0.001241699489870551
0.0008000000000000229,0.0006324555320336676,0.023710327792156965,5,0.00210223468192176,-0.0005022346819217145
